,Embedded_text,UserName
66,"Logement social : Wauquiez invente la double peine http://bit.ly/y4681M D'autres solutions existent : http://bit.ly/wxYpFK #placeaupeuple
blogs.mediapart.fr
Logement social: Laurent Wauquiez invente la double peine
«On est donc en train de réfléchir sur comment faire en sorte que le logement social puisse mieux aider ceux qui travaillent»,a déclaré le ministre de l'enseignement supérieur, Laurent Wauquiez....
2
4",@JLMelenchon
67,"Interview à Libération : http://bit.ly/ylwTm7 #placeaupeuple
5
3",@JLMelenchon
68,"Replying to 
@zegratman
@zegratman
 En interdisant la spéculation boursière sur les biens communs de l'humanité.
1",@JLMelenchon
69,"[APPEL] Si vous deviez poser une question, maintenant, à François Hollande, ce serait laquelle ?
44
5",@JLMelenchon
70,"Replying to 
@picroy
@picroy
 Non, Jean-Luc Mélenchon n'exerce qu'un seul mandat : il est député européen.",@JLMelenchon
71,"Replying to 
@ACireddu
@ACireddu
 Vous avez raison.",@JLMelenchon
72,"Replying to 
@arthelas
@samirbnlkhl Nouvel épisode de la web-série aujourd'hui, à midi. #placeaupeuple
1",@JLMelenchon
73,"Replying to 
@Jean_Blt
@Jean_Blt
 Nous sommes en train de les recenser pour le moment. Nous vous répondons vite.
1",@JLMelenchon
74,"Replying to 
@Jean_Blt
@Jean_Blt
 Jeudi 12 janvier, à l'occasion du passage de Jean-Luc Mélenchon dans l'émission des Paroles et des actes #placeaupeuple
1",@JLMelenchon
75,"Replying to 
@Jean_Blt
@Jean_Blt
 C'est accessible sur internet directement (c'est une appli web): pas besoin de smart phone pour la consulter.
4",@JLMelenchon
76,"Replying to 
@Jean_Blt
@Jean_Blt
 Oui, ils sont dans l'appli des #Révolunautes (placeaupeuple.mobi). Inscris-toi.
1",@JLMelenchon
77,"Replying to 
@Falempin1
@Falempin1
 Première nouvelle. Nous n'avons pas lu le même Marx. Mais venez en débattre lors d'une Assemblée citoyenne : http://bit.ly/yGmIQn
4",@JLMelenchon
78,"Replying to 
@Falempin1
@Falempin1
 À titre personnel, sans doute. Mais ceux qui vous surveillent, selon leurs intentions ou l'idéologie qui les domine, peut-être.
3",@JLMelenchon
79,"Replying to 
@Falempin1
@Falempin1
 Nous sommes hostiles à la videosurveillance, ce qui ne signifie pas que nous avons ""peur"" des caméras.
1",@JLMelenchon
80,"Le SNJ dénonce la « mise en scène de l’information » : http://bit.ly/A7DgoU #placeaupeuple
1
4
1",@JLMelenchon
81,"Nouvel épisode de Docteur Gauche : http://bit.ly/yxwZT7 #placeaupeuple
1",@JLMelenchon
82,"Raffarin avec nous !? http://bit.ly/wQH9JA #placeaupeuple
1
1",@JLMelenchon
83,"Replying to 
@Falempin1
@Falempin1
 Qui a dit que nous avions ""peur"" de la police et de la vidéosurveillance ?
1",@JLMelenchon
84,"Nous sommes gouvernés par une oligarchie où règne une grave incompétence : http://bit.ly/vZgY29 Prenez le pouvoir ! #placeaupeuple
2
4",@JLMelenchon
85,"Vidéosurveillance : pris en flagrant délit de vente de L’Huma !! Scandaleux… http://bit.ly/yBYS0f #placeaupeuple
2
6
2",@JLMelenchon
