,Embedded_text,UserName
36,"Éric #Zemmour face à 
@michelmaffesoli
  « Les Gilets Jaunes, c’est le retour de la lutte des classes. Les Gilets Jaunes ont été marginalisés par la mondialisation et ils se révoltent contre les élites mondialisées. Ils sont dans le rationnel, pas dans l’émotionnel » #Facealinfo
3
25
75",@ZemmourEric
37,"Nouveau record !!  Merci à vous
138
523
1.1K",@ZemmourEric
38," Ce soir, dans #Facealinfo, assistez au face à face entre l'économiste 
@ChrisSaintEtien
 et Eric #Zemmour 
 
A l'ordre du jour sur 
@CNEWS
 : la crise de l'hôpital, l'endettement et l'euro  !
10
50
86",@ZemmourEric
39,"Éric #Zemmour face 
@ChrisSaintEtien
 sur 
@CNEWS
 : « On a survalorisé l’euro de la BCE et on a imaginé une flexibilité qui n’existait pas. C’est le piège fédéraliste : imposer une monnaie unique pour imposer ensuite un État européen » #Facealinfo
5
60
115",@ZemmourEric
40,"Éric #Zemmour face à 
@michelmaffesoli
 sur 
@CNEWS
 : « Le peuple français s’est forgé contre les tribus et les communautés, au travers de son État. Il existe une alliance millénaire entre l’État et le peuple contre les élites » #Facealinfo
4
23
35",@ZemmourEric
41,"Éric #Zemmour face 
@ChrisSaintEtien
 sur 
@CNEWS
 : « De plus en plus, nous avons des intérêts divergents. Entre le Nord et le Sud. Entre l’Est et l’Ouest. On n’a plus grand-chose en commun. C’est l’échec de l’euro qui devait accroître la convergence des économies » #Facealinfo
3
35
92",@ZemmourEric
42,"Éric #Zemmour face 
@ChrisSaintEtien
 sur 
@CNEWS
 : « Ce que dit 
@EmmanuelMacron
 quand il veut s’affranchir du critère des 3% de déficit, c’est exactement ce que disait Philippe Séguin autrefois » #Facealinfo
1
19
54",@ZemmourEric
43,"Éric #Zemmour face 
@ChrisSaintEtien
 sur 
@CNEWS
 
« L’euro est une invention des élites françaises qui en avaient assez de se soumettre à l’hégémonie monétaire allemande. C’est le fantasme de la technocratie française » #Facealinfo
4
41
67",@ZemmourEric
44,"A lundi !

En attendant les retransmissions de l'émission sont ici 

https://cnews.fr/emission/2019-11-14/face-linfo-du-14112019-899420…
3
41
89",@ZemmourEric
45,"Un indice pour le débat de ce soir ! Qui s'annonce de haute volée 
48
126
330",@ZemmourEric
46,"Éric #Zemmour face à Thierry Lentz sur 
@CNEWS
  
« Napoléon est le personnage que notre époque déteste le plus. C’était un homme. Il faisait la guerre. Et c’était un chef. Aujourd’hui, on ne veut plus de chef. On veut des cools » 
#Facealinfo
16
102
221",@ZemmourEric
47," Spécialiste de #Napoleon, l'historien Thierry Lentz sera l'invité de #facealinfo ce soir pour débattre face à Eric #Zemmour. Au menu :

 La France face à son histoire
 La place de Napoléon dans les mémoires
 L'empire est-il le destin manqué de la  ?

A tt de suite ! 
40
90
178",@ZemmourEric
48,"Éric #Zemmour face à Thierry Lentz sur 
@CNEWS
 : « Le personnage de l’histoire que j’admire le plus au monde, c’est Napoléon. C’est un des plus grands génie de l’histoire, pour le meilleur et pour le pire. Il n’était rien et il est devenu empereur de toute l’Europe » #Facealinfo
26
138
389",@ZemmourEric
49,"Éric #Zemmour sur 
@CNEWS
 : « Toutes les ""Révolutions Orange"" en Europe étaient manipulées par les Américains et les organisations de George Soros qui avaient formé les leaders de ces mouvements. Peut-on imaginer que ce soit le cas à Hong Kong ? » #Facealinfo
17
103
166",@ZemmourEric
50," ""Napoléon est le personnage que j'admire le plus au monde"" 
Eric #Zemmour dans #Facealinfo hier soir
0:34
4.5K views
13
66
176",@ZemmourEric
51," Le #faceaface de ce soir opposera le président de l'
@UPR_Asselineau
 à Eric #Zemmour ! 

RDV à 19 heures sur 
@CNEWS
 pour un nouveau numéro de #Facealinfo 
30
90
152",@ZemmourEric
52,"Éric #Zemmour face à 
@UPR_Asselineau
 sur 
@CNEWS
 : « On dérive aujourd’hui de l’argent public vers des choses qui ne sont pas indispensables et l’on réduit les investissements. Notre problème n°1, c’est notre budget social qui est colossal parce qu’on l’ouvre au monde entier »
14
142
315",@ZemmourEric
53,"Éric #Zemmour sur 
@CNEWS
 : #Iran #HongKong « Comme par hasard, ces révoltes ne touchent que les adversaires des Etats-Unis. Mais vous allez dire que j’ai l’esprit mal tourné ! » #Facealinfo
11
30
88",@ZemmourEric
54,"Éric #Zemmour face à Thierry Lentz sur 
@CNEWS
 
« Napoléon a accompli le destin millénaire de la France  qui était de rassembler l’Europe » 
#Facealinfo
5
21
84",@ZemmourEric
55,"Éric #Zemmour face à 
@UPR_Asselineau
 sur 
@CNEWS
 
« L’argent que l’on donne aux pays de l’Est, c’est une compensation car ils n’imposent pas de droits de douane sur nos produits. Ce qui permet à nos entreprises d’aller dans ces pays » #Facealinfo
9
25
66",@ZemmourEric
56," ""Napoléon est le personnage que j'admire le plus au monde"" 
Eric #Zemmour dans #Facealinfo hier soir
4.5K views
0:04 / 0:34
13
66
176",@ZemmourEric
57," ""Vous vous trompez de combat"" lance Eric #Zemmour face à 
@UPR_Asselineau
 dans #Facealinfo
0:29
4.5K views
12
45
110",@ZemmourEric
